user_id,user_email,user_firstname,user_lastname,user_zip_code
1,abuss@mail.org,Abby,Kuss,99705
2,adwewy@mail.org,Anne,Dewey,35160
3,bbarion@mail.org,Barb,Barion,85202
4,bdehatchett@mail.org,Barry,DeHatchett,95191
5,benarreau@mail.org,Bo,Enarreau,94591
6,gtoffwind@mail.org,Gus,Toffwind,94999
7,igunner@mail.org,Isabelle,Gunnering,95191
8,lismoore@mail.org,Les,Ismoore,37403
9,meveyzing@mail.org,Martin,Eyezing,13244
10,mmelator@mail.org,Mary,Melator,33541
11,rabovdu@mail.org,Rose,Abov-Duresst,10027
12,rovlight@mail.org,Ray,Ovlight,13607
13,vrhee@mail.org,Victor,Rhee,12946
14,tanott@mail.org,Ty,Anott,13244
15,sofewe@mail.org,Seymour,Ofewe,10006
16,pmoss@mail.org,Pete,Moss,14802
17,omoni@mail.org,Otto,Moni,10017
18,ppincher@mail.org,Penny,Pincher,13212
19,ostuff@mail.org,Oliver,Stuffismission,13219
20,herchief@mail.org,Hank,Erchief,13290
21,jpoole@mail.org,Jean,Poole,43105
22,ajob@mail.org,Anita,Job,21241
23,ddeloyons@mail.org,Dan,Delyons,55901
24,afresco@mail.org,Al,Fresco,82834
25,cdababbi@mail.org,Carrie,Dababbi,14264
